"Van Tieghem, Petrus Josephus",Dialectica,KBR
"Tambuyser, Servatius",Logica,KBR
"Moituyer, Matthaeus",Logica,KBR
"Zaman, Joannes Franciscus",Logica,KBR
"Petit, Hermannus Josephus",Physica,KBR
"Heijlen, Petrus Josephus",Physica,KBR
"Verheyden, Engelbertus",Physica,KBR
